GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0006656	phosphatidylcholine biosynthetic process	5	3	0.64	0.01728	4.741e-01	P	Sobic.003G266500, Sobic.003G266600, Sobic.009G218900	SOBIC.003G266500, SOBIC.003G266600, SOBIC.009G218900
GO:0006850	mitochondrial pyruvate transport	5	3	0.64	0.01728	4.741e-01	P	Sobic.001G048766, Sobic.002G335000, Sobic.007G078100	SOBIC.001G048766, SOBIC.002G335000, SOBIC.007G078100
GO:0010065	primary meristem tissue development	5	3	0.64	0.01728	4.741e-01	P	Sobic.001G059900, Sobic.004G343700, Sobic.007G038000	SOBIC.001G059900, SOBIC.004G343700, SOBIC.007G038000
GO:0031297	replication fork processing	5	3	0.64	0.01728	4.741e-01	P	Sobic.002G351100, Sobic.002G420000, Sobic.008G101300	SOBIC.002G351100, SOBIC.002G420000, SOBIC.008G101300
GO:0031848	protection from non-homologous end joining at telomere	5	3	0.64	0.01728	4.741e-01	P	Sobic.002G214700, Sobic.003G318900, Sobic.007G007800	SOBIC.002G214700, SOBIC.003G318900, SOBIC.007G007800
GO:0033260	nuclear DNA replication	5	3	0.64	0.01728	4.741e-01	P	Sobic.003G025100, Sobic.005G020100, Sobic.008G020500	SOBIC.003G025100, SOBIC.005G020100, SOBIC.008G020500
GO:0043247	telomere maintenance in response to DNA damage	5	3	0.64	0.01728	4.741e-01	P	Sobic.002G214700, Sobic.003G318900, Sobic.007G007800	SOBIC.002G214700, SOBIC.003G318900, SOBIC.007G007800
GO:0044247	cellular polysaccharide catabolic process	43	11	5.52	0.01745	4.762e-01	P	Sobic.003G148500, Sobic.003G293800, Sobic.003G358600, Sobic.004G248100, Sobic.004G309000, Sobic.006G090900, Sobic.006G204400, Sobic.006G265100, Sobic.007G017300, Sobic.010G143500, Sobic.K044400	SOBIC.003G148500, SOBIC.003G293800, SOBIC.003G358600, SOBIC.004G248100, SOBIC.004G309000, SOBIC.006G090900, SOBIC.006G204400, SOBIC.006G265100, SOBIC.007G017300, SOBIC.010G143500, SOBIC.K044400
GO:0001944	vasculature development	13	5	1.67	0.01833	4.899e-01	P	Sobic.004G008600, Sobic.007G038000, Sobic.007G193200, Sobic.009G036500, Sobic.010G077000	SOBIC.004G008600, SOBIC.007G038000, SOBIC.007G193200, SOBIC.009G036500, SOBIC.010G077000
GO:0015780	nucleotide-sugar transport	13	5	1.67	0.01833	4.899e-01	P	Sobic.001G029500, Sobic.002G166400, Sobic.004G188500, Sobic.004G221300, Sobic.006G280500	SOBIC.001G029500, SOBIC.002G166400, SOBIC.004G188500, SOBIC.004G221300, SOBIC.006G280500
GO:0072358	cardiovascular system development	13	5	1.67	0.01833	4.899e-01	P	Sobic.004G008600, Sobic.007G038000, Sobic.007G193200, Sobic.009G036500, Sobic.010G077000	SOBIC.004G008600, SOBIC.007G038000, SOBIC.007G193200, SOBIC.009G036500, SOBIC.010G077000
GO:0072359	circulatory system development	13	5	1.67	0.01833	4.899e-01	P	Sobic.004G008600, Sobic.007G038000, Sobic.007G193200, Sobic.009G036500, Sobic.010G077000	SOBIC.004G008600, SOBIC.007G038000, SOBIC.007G193200, SOBIC.009G036500, SOBIC.010G077000
GO:0071824	protein-DNA complex subunit organization	90	19	11.55	0.01872	4.978e-01	P	Sobic.002G210500, Sobic.002G351100, Sobic.002G403400, Sobic.003G057366, Sobic.003G067300, Sobic.003G092200, Sobic.003G347900, Sobic.003G387600, Sobic.004G265400, Sobic.004G279601, Sobic.005G020100, Sobic.006G144700, Sobic.007G008300, Sobic.007G149600, Sobic.007G221800, Sobic.008G020500, Sobic.008G101300, Sobic.009G164200, Sobic.009G167500	SOBIC.002G210500, SOBIC.002G351100, SOBIC.002G403400, SOBIC.003G057366, SOBIC.003G067300, SOBIC.003G092200, SOBIC.003G347900, SOBIC.003G387600, SOBIC.004G265400, SOBIC.004G279601, SOBIC.005G020100, SOBIC.006G144700, SOBIC.007G008300, SOBIC.007G149600, SOBIC.007G221800, SOBIC.008G020500, SOBIC.008G101300, SOBIC.009G164200, SOBIC.009G167500
GO:0010588	cotyledon vascular tissue pattern formation	9	4	1.16	0.01999	5.261e-01	P	Sobic.001G059900, Sobic.002G164700, Sobic.003G052700, Sobic.007G054500	SOBIC.001G059900, SOBIC.002G164700, SOBIC.003G052700, SOBIC.007G054500
GO:0051445	regulation of meiotic cell cycle	9	4	1.16	0.01999	5.261e-01	P	Sobic.004G021000, Sobic.004G168300, Sobic.004G198100, Sobic.005G061900	SOBIC.004G021000, SOBIC.004G168300, SOBIC.004G198100, SOBIC.005G061900
GO:0098813	nuclear chromosome segregation	61	14	7.83	0.02047	5.360e-01	P	Sobic.001G083300, Sobic.001G118800, Sobic.001G230300, Sobic.001G450400, Sobic.002G074500, Sobic.002G162300, Sobic.003G179500, Sobic.003G384100, Sobic.003G423700, Sobic.004G077100, Sobic.004G271300, Sobic.006G120600, Sobic.006G136000, Sobic.009G184200	SOBIC.001G083300, SOBIC.001G118800, SOBIC.001G230300, SOBIC.001G450400, SOBIC.002G074500, SOBIC.002G162300, SOBIC.003G179500, SOBIC.003G384100, SOBIC.003G423700, SOBIC.004G077100, SOBIC.004G271300, SOBIC.006G120600, SOBIC.006G136000, SOBIC.009G184200
