SOBIC.001G330700	Sobic.001G330700	GO:0005829, GO:0008202, GO:0009611, GO:0010051, GO:0035671
SOBIC.001G332900	Sobic.001G332900	GO:0004674, GO:0005515, GO:0005524, GO:0005886, GO:0006468, GO:0048544
SOBIC.001G333200	Sobic.001G333200	GO:0005515, GO:0008270, GO:0016021
SOBIC.001G333500	Sobic.001G333500	GO:0005524, GO:0009408, GO:0009570, GO:0009658, GO:0016485
SOBIC.001G337600	Sobic.001G337600	GO:0031072, GO:0051082
SOBIC.001G338500	Sobic.001G338500	GO:0008152, GO:0009506, GO:0009735, GO:0016597
SOBIC.001G339801	Sobic.001G339801	GO:0005509, GO:0005829
SOBIC.001G341300	Sobic.001G341300	GO:0004176, GO:0006508
SOBIC.001G341900	Sobic.001G341900	GO:0005215, GO:0006810, GO:0016021
SOBIC.001G344500	Sobic.001G344500	GO:0005985, GO:0010037, GO:0016157
SOBIC.001G347600	Sobic.001G347600	GO:0005829, GO:0005886, GO:0009903, GO:0009904
SOBIC.001G349800	Sobic.001G349800	GO:0004630, GO:0005509, GO:0005515, GO:0016020, GO:0046470
SOBIC.001G353300	Sobic.001G353300	GO:0004805, GO:0005992, GO:0016311
SOBIC.001G353400	Sobic.001G353400	GO:0005515
SOBIC.001G354800	Sobic.001G354800	GO:0016021
SOBIC.001G355600	Sobic.001G355600	GO:0003700, GO:0010106, GO:0046983, GO:0055072
SOBIC.001G356800	Sobic.001G356800	GO:0046872
SOBIC.001G359300	Sobic.001G359300	GO:0005506, GO:0016705, GO:0020037, GO:0055114
SOBIC.001G359400	Sobic.001G359400	GO:0004497, GO:0005506, GO:0016705, GO:0020037, GO:0055114
SOBIC.001G360600	Sobic.001G360600	GO:0005829, GO:0006508, GO:0016920
SOBIC.001G363100	Sobic.001G363100	GO:0006950
SOBIC.001G367800	Sobic.001G367800	GO:0000266, GO:0005515, GO:0016021
SOBIC.001G368900	Sobic.001G368900	GO:0005515, GO:0005886
SOBIC.001G372000	Sobic.001G372000	GO:0005515, GO:0005634, GO:0005829, GO:0005886, GO:0009536, GO:0009620, GO:0009651, GO:0042542, GO:0071470
SOBIC.001G372700	Sobic.001G372700	GO:0005515, GO:0005622, GO:0008270, GO:0044212
SOBIC.001G373700	Sobic.001G373700	GO:0008270
SOBIC.001G374400	Sobic.001G374400	GO:0030001, GO:0046872
SOBIC.001G375400	Sobic.001G375400	GO:0005515
SOBIC.001G383000	Sobic.001G383000	GO:0000027, GO:0003735, GO:0006412, GO:0022625
SOBIC.001G383100	Sobic.001G383100	GO:0004416, GO:0005829, GO:0019243
SOBIC.001G384100	Sobic.001G384100	GO:0004619, GO:0005737, GO:0006007, GO:0030145
SOBIC.001G387000	Sobic.001G387000	GO:0005515, GO:0008270
SOBIC.001G388100	Sobic.001G388100	GO:0005634, GO:0005829, GO:0050826
SOBIC.001G389000	Sobic.001G389000	GO:0003700, GO:0006355, GO:0043565
SOBIC.001G391300	Sobic.001G391300	GO:0006012, GO:0009408, GO:0009409, GO:0009414, GO:0009644, GO:0009651, GO:0009737, GO:0042542, GO:0047216
SOBIC.001G391500	Sobic.001G391500	GO:0003677, GO:0009651, GO:0009737, GO:0009751, GO:0046686
SOBIC.001G392500	Sobic.001G392500	GO:0004018, GO:0006188
SOBIC.001G396900	Sobic.001G396900	GO:0015171, GO:0031359
SOBIC.001G397200	Sobic.001G397200	GO:0005773, GO:0006950
SOBIC.001G398950	Sobic.001G398950	GO:0005515, GO:0008270
SOBIC.001G401800	Sobic.001G401800	GO:0016021
SOBIC.001G405500	Sobic.001G405500	GO:0000287, GO:0001666, GO:0005829, GO:0016831, GO:0030976
SOBIC.001G405800	Sobic.001G405800	GO:0005788, GO:0009408, GO:0009506, GO:0009860, GO:0016491, GO:0055114
SOBIC.001G406300	Sobic.001G406300	GO:0004722, GO:0006470, GO:0009536, GO:0009611, GO:0009738, GO:0046872, GO:0050832
SOBIC.001G409400	Sobic.001G409400	GO:0016021
SOBIC.001G412700	Sobic.001G412700	GO:0004364, GO:0005515, GO:0005737, GO:0006749, GO:0010731
SOBIC.001G417600	Sobic.001G417600	GO:0003779, GO:0005622, GO:0009870, GO:0042742
SOBIC.001G418200	Sobic.001G418200	GO:0080167
SOBIC.001G418600	Sobic.001G418600	GO:0005524
SOBIC.001G418800	Sobic.001G418800	GO:0008152, GO:0008375, GO:0015020, GO:0016020
SOBIC.001G420100	Sobic.001G420100	GO:0005524
SOBIC.001G423100	Sobic.001G423100	GO:0005488
SOBIC.001G423400	Sobic.001G423400	GO:0003677, GO:0003700, GO:0006352, GO:0006355, GO:0016987
SOBIC.001G424400	Sobic.001G424400	GO:0004721, GO:0009788, GO:0009939, GO:0010030, GO:0046872, GO:0048838, GO:1902039
SOBIC.001G425400	Sobic.001G425400	GO:0005985, GO:0006001, GO:0009409, GO:0009570, GO:0009735, GO:0009773, GO:0010319, GO:0030388, GO:0042132, GO:0048046
SOBIC.001G425500	Sobic.001G425500	GO:0009408, GO:0042542, GO:0045471, GO:0046685, GO:0046686, GO:0046688
SOBIC.001G425900	Sobic.001G425900	GO:0005515, GO:0008270
SOBIC.001G428900	Sobic.001G428900	GO:0004674, GO:0005524, GO:0005886, GO:0006468, GO:0016021, GO:0048544
