"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"63358","Sobic.009G080200.v3.2","seed_wt","seed_dry","OK",81.5893,179.162,1.13481,2.20076,2e-04,0.000811791,"yes"
"63376","Sobic.009G082000.v3.2","seed_wt","seed_dry","OK",2.40979,8.04878,1.73987,2.59584,5e-05,0.000226883,"yes"
"63394","Sobic.009G083500.v3.2","seed_wt","seed_dry","OK",2.55003,6.21318,1.28482,1.87124,0.0014,0.00459691,"yes"
"63452","Sobic.009G088800.v3.2","seed_wt","seed_dry","OK",30.2086,61.9235,1.03553,1.99215,5e-04,0.00184503,"yes"
"63493","Sobic.009G093200.v3.2","seed_wt","seed_dry","OK",227.905,571.206,1.32558,2.47005,5e-05,0.000226883,"yes"
"63567","Sobic.009G101400.v3.2","seed_wt","seed_dry","OK",67.6567,193.214,1.5139,2.84345,5e-05,0.000226883,"yes"
"63584","Sobic.009G103000.v3.2","seed_wt","seed_dry","OK",9.46031,36.3675,1.94269,3.34327,5e-05,0.000226883,"yes"
"63590","Sobic.009G103600.v3.2","seed_wt","seed_dry","OK",20.1229,47.2649,1.23193,2.34626,0.00015,0.000624855,"yes"
"63592","Sobic.009G103700.v3.2","seed_wt","seed_dry","OK",31.566,70.332,1.15581,2.21099,5e-05,0.000226883,"yes"
"63600","Sobic.009G104500.v3.2","seed_wt","seed_dry","OK",947.351,6559.94,2.79171,3.89191,5e-05,0.000226883,"yes"
"63601","Sobic.009G104600.v3.2","seed_wt","seed_dry","OK",88.9319,1913.39,4.42729,7.13756,5e-05,0.000226883,"yes"
"63606","Sobic.009G105000.v3.2","seed_wt","seed_dry","OK",24.7122,55.6167,1.1703,2.25219,1e-04,0.000431629,"yes"
"63612","Sobic.009G105500.v3.2","seed_wt","seed_dry","OK",0.0815868,1.67656,4.36102,2.62445,0.02485,0.0556749,"no"
"63641","Sobic.009G108700.v3.2","seed_wt","seed_dry","OK",157.416,623.998,1.98696,3.37965,5e-05,0.000226883,"yes"
"63677","Sobic.009G112200.v3.2","seed_wt","seed_dry","OK",0.326516,1.90718,2.54621,1.96867,0.0073,0.019382,"yes"
