"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.004G092700.v3.2",13421.0527827807,1.97850746041108,0.408216868164827,4.84670677452803,1.25527747336989e-06,1.16617722352686e-05
"Sobic.004G092800.v3.2",136.589427345817,1.73525946594625,0.486511170993598,3.56674125776463,0.000361448044249539,0.00167975960361908
"Sobic.004G101400.v3.2",906.04028309357,1.00474001419408,0.407723606725803,2.46426745378463,0.013729362166175,0.0381763094225459
"Sobic.004G107500.v3.2",172.110977087386,1.64572708260751,0.389480585686769,4.22544060753532,2.38473716781334e-05,0.000157011005854627
"Sobic.004G107550.v3.2",87.5490056265298,1.65906481070102,0.292131334023794,5.67917445845055,1.35346380057397e-08,1.95184897148219e-07
"Sobic.004G108100.v3.2",818.154344146295,1.29572933026369,0.3462360385012,3.74232946943563,0.000182322255759179,0.000923092529158565
"Sobic.004G109300.v3.2",16.4338725767101,2.40919771007021,0.68765975384775,3.50347347883851,0.000459232382896953,0.00206698644509281
"Sobic.004G109700.v3.2",4.94235745931758,2.7429674056107,0.942506320686007,2.91029072740246,0.00361092695424606,0.0122867574960682
"Sobic.004G109900.v3.2",7.69232902938417,1.55260352720494,0.603902440002498,2.57095090922057,0.0101419702198633,0.0296268080542877
"Sobic.004G110300.v3.2",46.0505996228616,2.17205813840988,0.450380440683265,4.82271862231557,1.41614676808233e-06,1.29679043455375e-05
"Sobic.004G110400.v3.2",136.011340439024,2.17543383901852,0.288649229140513,7.53660020328524,4.82382333338135e-14,1.99590776227486e-12
"Sobic.004G111500.v3.2",3425.0180172667,3.25144064122192,0.835315816667901,3.8924686643574,9.92293195806834e-05,0.000543778142148042
"Sobic.004G114600.v3.2",8184.91260946536,1.46456637739104,0.340635603647842,4.29951056703147,1.71175714526714e-05,0.000117338475405903
"Sobic.004G116300.v3.2",3435.85671137926,1.43543133021481,0.252088486583716,5.69415664185089,1.23983219896618e-08,1.80397508163952e-07
"Sobic.004G122000.v3.2",863.033379990731,1.17253013291312,0.232507706075593,5.04297321023808,4.58353443626114e-07,4.7211075781987e-06
"Sobic.004G124400.v3.2",737.52942758203,1.16688905356469,0.160595425509484,7.26601676145362,3.70242666479101e-13,1.29908087714737e-11
"Sobic.004G125100.v3.2",79.4509280762565,1.10412254316794,0.415121442942102,2.65975791407607,0.00781968341724755,0.0237656217044331
"Sobic.004G125800.v3.2",1008.66766369492,1.03538582164539,0.215242402817448,4.81032458331888,1.50685396839859e-06,1.37137356632395e-05
