"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.009G239101.v3.2",96.6551052647409,-1.49244287508347,0.342000577862256,-4.36386068237747,1.27786975410658e-05,4.22185451687733e-05
"Sobic.009G240000.v3.2",18.0052510223651,-2.54349172243978,0.48370521753953,-5.25835080997843,1.45353036814903e-07,6.37115640366164e-07
"Sobic.009G241000.v3.2",19.9957974469352,-1.72769798507434,0.589936763137644,-2.92861556192123,0.00340475241875378,0.00728443898911335
"Sobic.009G241100.v3.2",626.441548242163,-1.46111307874547,0.171793834874185,-8.50503791253935,1.8153626004912e-17,2.30205305109571e-16
"Sobic.009G241200.v3.2",403.140748442753,-1.37137227616706,0.186490594375029,-7.35357341083514,1.92976941889443e-13,1.67155427147641e-12
"Sobic.009G241300.v3.2",43.2152076464991,-1.71368327184196,0.426472364553292,-4.01827507307996,5.86257347193094e-05,0.000173710140344866
"Sobic.009G241400.v3.2",15.1540743468376,-1.60985408539649,0.594534604933197,-2.7077550609142,0.00677399964129382,0.0135929982313271
"Sobic.009G241500.v3.2",58.4198749447667,-2.32824917075725,0.330606764096141,-7.04235189235327,1.8902171406718e-12,1.48898054586491e-11
"Sobic.009G241700.v3.2",1814.68736790132,-2.27770624765875,0.150960563919071,-15.088087832527,1.93982962500682e-51,2.12470575377178e-49
"Sobic.009G241801.v3.2",137.716634980396,-2.07087410555605,0.382178384721333,-5.4186060445727,6.00655081196349e-08,2.77971276650405e-07
"Sobic.009G242600.v3.2",162.206879909947,-1.0185484559177,0.238029998698506,-4.27907600507033,1.87670774388326e-05,6.03562502815396e-05
"Sobic.009G243000.v3.2",8.06994446768437,-1.84420816965799,0.703186503661935,-2.62264443366595,0.00872502769226645,0.0171178040394456
"Sobic.009G243100.v3.2",1034.14401116599,-1.6598005840686,0.104215566464802,-15.92660905057,4.14219389539283e-57,5.71483356808116e-55
"Sobic.009G243400.v3.2",201.893685843527,-2.48002987354758,0.314406216857162,-7.8879797554203,3.07117568297989e-15,3.15100209418928e-14
"Sobic.009G243900.v3.2",343.059127715173,-2.4545730878488,0.290572782574785,-8.4473606443751,2.97962198450007e-17,3.69676662728917e-16
"Sobic.009G244000.v3.2",3.29439322382819,-2.65354008820187,1.028600010448,-2.57975895513178,0.00988693000654819,0.0191589729487415
"Sobic.009G244200.v3.2",223.644423991638,-1.80278968364858,0.233055848515245,-7.73544064709731,1.03045565790147e-14,1.00856023242833e-13
"Sobic.009G246600.v3.2",146.953462245969,-1.1971544482404,0.238366708350456,-5.0223223558564,5.10504074326734e-07,2.08007034231922e-06
"Sobic.009G247300.v3.2",284.999590780178,-1.77331675070449,0.262985805620708,-6.74301316954749,1.55135141251615e-11,1.10661524944012e-10
"Sobic.009G247700.v3.2",22.4308735580512,-3.23039718199872,0.488748481369228,-6.60952883771375,3.85545114184016e-11,2.63428289089017e-10
"Sobic.009G247900.v3.2",5812.10483383965,-2.73600423527333,0.286477439093354,-9.55050507269356,1.29065512259718e-21,2.3338330216239e-20
"Sobic.009G249000.v3.2",1103.3023394456,-2.03801871562778,0.214203734735599,-9.51439393969205,1.82775163128392e-21,3.2618773981937e-20
"Sobic.009G250400.v3.2",1411.83847887697,-2.52107483939911,0.181937434737192,-13.8568230504118,1.15682071430828e-43,8.23753946364884e-42
"Sobic.009G252400.v3.2",111.377635362401,-3.28605494968005,0.448708524003373,-7.32336199090201,2.41834289893149e-13,2.07471408581874e-12
"Sobic.009G253700.v3.2",12.2133655926612,-1.94943002425328,0.647086972506533,-3.01262443393358,0.00258999229291344,0.00566720933918616
"Sobic.009G255300.v3.2",2301.34451817947,-1.31483920513767,0.146889523634243,-8.95121158137621,3.516017188071e-19,5.14529042560293e-18
"Sobic.009G257500.v3.2",243.542599302555,-1.14052525677976,0.150774024869206,-7.56446780384848,3.89455781207856e-14,3.6180681622926e-13
"Sobic.009G257800.v3.2",1796.91533866406,-1.6628938422859,0.178785622145857,-9.30104905711759,1.39066706513631e-20,2.29356165334579e-19
"Sobic.009G259700.v3.2",365.674573657213,-1.16806255723714,0.233451296254687,-5.00345286565821,5.63124396000291e-07,2.27829984379252e-06
"Sobic.010G000600.v3.2",6101.18087900424,-1.29103203739924,0.110352672517017,-11.6991460918189,1.28742449984722e-31,4.84845418269234e-30
"Sobic.010G000700.v3.2",710.368584456879,-1.63635957559688,0.146795211234999,-11.1472272278508,7.3872559726902e-29,2.28686175456624e-27
"Sobic.010G001000.v3.2",101.317027573031,-1.90412480226158,0.329542731834747,-5.77808162134319,7.5557154750356e-09,3.91383333911727e-08
"Sobic.010G001600.v3.2",3242.57686634037,-3.05373050326765,0.206230554550268,-14.8073621288902,1.31292455007253e-49,1.29920675218729e-47
"Sobic.010G003300.v3.2",677.658893740232,-1.08635713994297,0.192853149771973,-5.63307958012337,1.7701972184516e-08,8.77666716964506e-08
"Sobic.010G006350.v3.2",354.364670639312,-5.3993953482913,1.300450106705,-4.15194348514605,3.29663681672751e-05,0.000101789957746535
"Sobic.010G006800.v3.2",34.6479400356808,-3.09482828479006,0.918383915613191,-3.36986333512133,0.000752054724014843,0.00182694611149191
"Sobic.010G007100.v3.2",1042.62252329906,-1.26500164811888,0.153029416014084,-8.26639531841679,1.38070188072601e-16,1.60673162494705e-15
"Sobic.010G007500.v3.2",173.093102526854,-1.99722510650475,0.313129044594146,-6.37828122617434,1.7908643607412e-10,1.13224134303129e-09
"Sobic.010G007800.v3.2",1406.90597121906,-2.46896223440816,0.451076721555521,-5.4734862528353,4.41267129364295e-08,2.08307991632952e-07
"Sobic.010G009532.v3.2",81.3727795035211,-2.2771572633032,0.634724661333846,-3.58763004184816,0.000333697313856935,0.000866067813670296
"Sobic.010G011200.v3.2",6901.80674747088,-1.40354716433699,0.132645202995294,-10.5812131358176,3.64211602647474e-26,9.24118511156019e-25
"Sobic.010G011900.v3.2",951.300814614772,-2.13640999258049,0.216577196235006,-9.86442723296821,5.93723285012609e-23,1.18732244669037e-21
"Sobic.010G012001.v3.2",740.681488961288,-4.15273396002921,0.200265158519839,-20.7361779289122,1.63405190190643e-95,9.76924738104353e-93
"Sobic.010G012100.v3.2",543.945034231434,-1.63563403107595,0.0895093426279454,-18.273333074008,1.34950687055942e-74,3.65347157211733e-72
"Sobic.010G012600.v3.2",976.306440543736,-1.04406709632402,0.0997116471654809,-10.4708639963724,1.17565019502242e-25,2.90341081295683e-24
"Sobic.010G012700.v3.2",5.86478102052342,-2.40392415421829,1.03166753844473,-2.3301345294263,0.0197990419527384,0.0360150295967124
"Sobic.010G012800.v3.2",1498.51553543103,-1.72331641350207,0.384114790367756,-4.48646200749558,7.2415623228951e-06,2.4804382189081e-05
"Sobic.010G013200.v3.2",5586.55416463264,-1.02667725228347,0.248276341307804,-4.13521983961666,3.54614997444388e-05,0.000108908246807166
"Sobic.010G014100.v3.2",2048.02731142864,-1.36646197031375,0.119246135140805,-11.4591719781965,2.11527361192227e-30,7.24367623404935e-29
"Sobic.010G015500.v3.2",610.067168708519,-1.48975059795512,0.291444229967714,-5.11161465821489,3.19416861934342e-07,1.33834219403268e-06
"Sobic.010G015700.v3.2",256.440751102156,-1.22953275722497,0.216816055644419,-5.67085658656858,1.42085302954006e-08,7.11964717805329e-08
