"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"167351","Sobic.009G236600.v3.2","WT_seed","plasma_seed","OK",0.984357,0.17853,-2.46301,-1.76888,0.03615,0.0650231,"no"
"167361","Sobic.009G237400.v3.2","WT_seed","plasma_seed","OK",3.4834,1.24323,-1.4864,-2.0726,0.0013,0.0030748,"yes"
"167393","Sobic.009G240300.v3.2","WT_seed","plasma_seed","OK",1.1923,0.530712,-1.16775,-1.45726,0.0104,0.0208269,"yes"
"167412","Sobic.009G242200.v3.2","WT_seed","plasma_seed","OK",2.69938,0.550995,-2.29252,-3.65727,5e-05,0.00014463,"yes"
"167414","Sobic.009G242300.v3.2","WT_seed","plasma_seed","OK",579.214,211.018,-1.45673,-4.01641,5e-05,0.00014463,"yes"
"167415","Sobic.009G242400.v3.2","WT_seed","plasma_seed","OK",76.3357,36.5132,-1.06394,-2.96952,5e-05,0.00014463,"yes"
"167416","Sobic.009G242501.v3.2","WT_seed","plasma_seed","OK",2.53219,0.753619,-1.74848,-2.75178,5e-05,0.00014463,"yes"
"167432","Sobic.009G244300.v3.2","WT_seed","plasma_seed","OK",0.915319,0.188065,-2.28304,-1.91805,0.00365,0.00795691,"yes"
"167438","Sobic.009G244900.v3.2","WT_seed","plasma_seed","OK",8.67433,1.79246,-2.27481,-4.40655,5e-05,0.00014463,"yes"
"167439","Sobic.009G245000.v3.2","WT_seed","plasma_seed","OK",125.325,62.3117,-1.0081,-2.61103,5e-05,0.00014463,"yes"
"167459","Sobic.009G246700.v3.2","WT_seed","plasma_seed","OK",16.7048,8.13097,-1.03876,-2.77465,5e-05,0.00014463,"yes"
"167478","Sobic.009G248900.v3.2","WT_seed","plasma_seed","OK",2.91605,0.58605,-2.31492,-3.39541,5e-05,0.00014463,"yes"
"167490","Sobic.009G250100.v3.2","WT_seed","plasma_seed","OK",1.61502,0.527174,-1.6152,-2.72096,5e-05,0.00014463,"yes"
"167497","Sobic.009G250800.v3.2","WT_seed","plasma_seed","OK",5.52679,0.490228,-3.49492,-5.04057,5e-05,0.00014463,"yes"
"167499","Sobic.009G251000.v3.2","WT_seed","plasma_seed","OK",0.709889,0.288866,-1.29719,-1.57389,0.00655,0.0135941,"yes"
"167500","Sobic.009G251100.v3.2","WT_seed","plasma_seed","OK",4.98829,2.3192,-1.10492,-2.28609,1e-04,0.000279923,"yes"
"167507","Sobic.009G251800.v3.2","WT_seed","plasma_seed","OK",3.66415,0.472392,-2.95542,-4.79887,5e-05,0.00014463,"yes"
"167529","Sobic.009G254000.v3.2","WT_seed","plasma_seed","OK",14.4891,3.9572,-1.87241,-4.65325,5e-05,0.00014463,"yes"
"167530","Sobic.009G254100.v3.2","WT_seed","plasma_seed","OK",10.4491,3.77324,-1.46951,-3.5618,5e-05,0.00014463,"yes"
"167532","Sobic.009G254400.v3.2","WT_seed","plasma_seed","OK",0.891899,0.0456817,-4.28719,-3.00263,0.01725,0.0331094,"yes"
"167562","Sobic.009G257400.v3.2","WT_seed","plasma_seed","OK",0.778516,0.35893,-1.11702,-1.3564,0.0226,0.0424253,"yes"
"167567","Sobic.009G257900.v3.2","WT_seed","plasma_seed","OK",0.721898,0.0952777,-2.92158,-3.41587,5e-05,0.00014463,"yes"
"167574","Sobic.009G258500.v3.2","WT_seed","plasma_seed","OK",20.4839,9.56694,-1.09836,-2.88398,5e-05,0.00014463,"yes"
"167580","Sobic.009G259200.v3.2","WT_seed","plasma_seed","OK",107.973,48.2621,-1.1617,-3.20112,5e-05,0.00014463,"yes"
"167610","Sobic.010G001300.v3.2","WT_seed","plasma_seed","OK",1.31606,0.106409,-3.62854,-3.44452,0.00055,0.00138449,"yes"
"167629","Sobic.010G003100.v3.2","WT_seed","plasma_seed","OK",32.0458,8.851,-1.85622,-4.85712,5e-05,0.00014463,"yes"
"167646","Sobic.010G004900.v3.2","WT_seed","plasma_seed","OK",10.0482,3.42438,-1.55303,-2.93256,5e-05,0.00014463,"yes"
"167647","Sobic.010G005000.v3.2","WT_seed","plasma_seed","OK",24.7877,2.21464,-3.48448,-7.44073,5e-05,0.00014463,"yes"
"167652","Sobic.010G005500.v3.2","WT_seed","plasma_seed","OK",1.63045,0.412529,-1.9827,-2.83656,1e-04,0.000279923,"yes"
"167661","Sobic.010G006400.v3.2","WT_seed","plasma_seed","OK",2.07026,0.668816,-1.63013,-2.26927,8e-04,0.00196123,"yes"
"167667","Sobic.010G007200.v3.2","WT_seed","plasma_seed","OK",6.17515,3.05231,-1.01658,-2.05622,4e-04,0.00102824,"yes"
"167706","Sobic.010G010900.v3.2","WT_seed","plasma_seed","OK",2.10805,0.873878,-1.27041,-2.6954,5e-05,0.00014463,"yes"
"167721","Sobic.010G012500.v3.2","WT_seed","plasma_seed","OK",137.806,60.6783,-1.18338,-3.24198,5e-05,0.00014463,"yes"
"167725","Sobic.010G012900.v3.2","WT_seed","plasma_seed","OK",6.54894,3.24442,-1.0133,-2.15201,0.00055,0.00138449,"yes"
"167727","Sobic.010G013100.v3.2","WT_seed","plasma_seed","OK",27.6501,1.96243,-3.81657,-6.83097,5e-05,0.00014463,"yes"
"167740","Sobic.010G014500.v3.2","WT_seed","plasma_seed","OK",0.814794,0.128947,-2.65966,-2.5591,0.0017,0.00393978,"yes"
"167742","Sobic.010G014700.v3.2","WT_seed","plasma_seed","OK",0.750615,0.0803423,-3.22384,-2.38366,0.0256,0.0475267,"yes"
"167759","Sobic.010G016300.v3.2","WT_seed","plasma_seed","OK",4.47609,1.52606,-1.55243,-2.96525,5e-05,0.00014463,"yes"
"167767","Sobic.010G017100.v3.2","WT_seed","plasma_seed","OK",1.0826,0.340266,-1.66977,-2.53474,5e-05,0.00014463,"yes"
"167781","Sobic.010G018500.v3.2","WT_seed","plasma_seed","OK",1.62594,0.53648,-1.59968,-2.58119,5e-05,0.00014463,"yes"
"167798","Sobic.010G020200.v3.2","WT_seed","plasma_seed","OK",1.64026,0.12057,-3.76598,-2.27628,0.04585,0.0806692,"no"
"167801","Sobic.010G020600.v3.2","WT_seed","plasma_seed","OK",2.30731,0.189217,-3.6081,-4.57706,5e-05,0.00014463,"yes"
"167815","Sobic.010G022000.v3.2","WT_seed","plasma_seed","OK",0.687275,0.151271,-2.18375,-2.44318,0.00055,0.00138449,"yes"
"167821","Sobic.010G022500.v3.2","WT_seed","plasma_seed","OK",1.16909,0.287438,-2.02406,-2.56443,2e-04,0.00053758,"yes"
"167832","Sobic.010G023400.v3.2","WT_seed","plasma_seed","OK",11.763,0.385166,-4.93263,-9.32399,5e-05,0.00014463,"yes"
