"","gene_id","sample_1","sample_2","status","value_1","value_2","log2_fold_change","test_stat","p_value","q_value","significant"
"64923","Sobic.009G232500.v3.2","seed_wt","seed_dry","OK",12.922,0.843242,-3.93774,-3.03544,0.00435,0.0123888,"yes"
"64927","Sobic.009G233000.v3.2","seed_wt","seed_dry","OK",1.54036,0.190106,-3.01839,-2.16286,0.00895,0.0231435,"yes"
"64940","Sobic.009G234300.v3.2","seed_wt","seed_dry","OK",15.5087,5.30851,-1.5467,-2.65259,5e-05,0.000226883,"yes"
"64957","Sobic.009G236000.v3.2","seed_wt","seed_dry","OK",3.53327,0.829243,-2.09114,-2.2096,0.00095,0.00326439,"yes"
"64990","Sobic.009G238900.v3.2","seed_wt","seed_dry","OK",135.516,25.1118,-2.43203,-4.63181,5e-05,0.000226883,"yes"
"64995","Sobic.009G239301.v3.2","seed_wt","seed_dry","OK",30.5646,0,-Inf,NA,5e-05,0.000226883,"yes"
"65029","Sobic.009G242501.v3.2","seed_wt","seed_dry","OK",2.21993,0,-Inf,NA,5e-05,0.000226883,"yes"
"65031","Sobic.009G242700.v3.2","seed_wt","seed_dry","OK",12.1458,4.64696,-1.3861,-1.70706,0.0087,0.0225789,"yes"
"65049","Sobic.009G244700.v3.2","seed_wt","seed_dry","OK",12.9018,6.28424,-1.03776,-1.93721,8e-04,0.00280389,"yes"
"65051","Sobic.009G244900.v3.2","seed_wt","seed_dry","OK",6.47179,1.64172,-1.97896,-2.33909,0.00015,0.000624855,"yes"
"65053","Sobic.009G245101.v3.2","seed_wt","seed_dry","OK",6.61752,1.00492,-2.7192,-3.13297,5e-05,0.000226883,"yes"
"65091","Sobic.009G248900.v3.2","seed_wt","seed_dry","OK",1.73748,0.253931,-2.77448,-1.83551,0.01645,0.0390585,"yes"
"65110","Sobic.009G250800.v3.2","seed_wt","seed_dry","OK",4.70451,0.262449,-4.16393,-2.89699,0.00575,0.015769,"yes"
"65113","Sobic.009G251100.v3.2","seed_wt","seed_dry","OK",4.13959,0.305144,-3.76193,-2.99902,0.00305,0.00909904,"yes"
"65115","Sobic.009G251300.v3.2","seed_wt","seed_dry","OK",3.92359,1.87398,-1.06607,-1.21936,0.03095,0.0670832,"no"
"65120","Sobic.009G251800.v3.2","seed_wt","seed_dry","OK",3.38928,0,-Inf,NA,5e-05,0.000226883,"yes"
"65142","Sobic.009G254000.v3.2","seed_wt","seed_dry","OK",12.8013,2.13034,-2.58713,-3.71444,5e-05,0.000226883,"yes"
"65143","Sobic.009G254100.v3.2","seed_wt","seed_dry","OK",8.70639,0.185729,-5.55081,-3.47092,0.0131,0.0321279,"yes"
"65156","Sobic.009G255500.v3.2","seed_wt","seed_dry","OK",57.9843,10.9913,-2.3993,-4.32275,5e-05,0.000226883,"yes"
"65185","Sobic.009G258300.v3.2","seed_wt","seed_dry","OK",33.6534,0.650437,-5.6932,-5.86513,5e-05,0.000226883,"yes"
"65187","Sobic.009G258500.v3.2","seed_wt","seed_dry","OK",19.9266,7.58128,-1.39418,-2.38569,0.00015,0.000624855,"yes"
"65193","Sobic.009G259200.v3.2","seed_wt","seed_dry","OK",87.0199,33.2279,-1.38895,-2.61488,5e-05,0.000226883,"yes"
"65195","Sobic.009G259400.v3.2","seed_wt","seed_dry","OK",4.5975,2.22955,-1.0441,-1.13156,0.04975,0.100171,"no"
"65229","Sobic.010G001900.v3.2","seed_wt","seed_dry","OK",4.40552,0.824082,-2.41845,-2.68946,0.00015,0.000624855,"yes"
"65234","Sobic.010G002400.v3.2","seed_wt","seed_dry","OK",7.70059,2.94784,-1.38531,-1.85438,0.00385,0.011131,"yes"
"65242","Sobic.010G003100.v3.2","seed_wt","seed_dry","OK",23.7512,2.73823,-3.11668,-4.67678,5e-05,0.000226883,"yes"
"65254","Sobic.010G004400.v3.2","seed_wt","seed_dry","OK",3.67368,1.2532,-1.55161,-1.59527,0.01275,0.0314011,"yes"
"65260","Sobic.010G005000.v3.2","seed_wt","seed_dry","OK",20.3843,1.13713,-4.16399,-5.11043,5e-05,0.000226883,"yes"
"65298","Sobic.010G008800.v3.2","seed_wt","seed_dry","OK",82.9834,35.2349,-1.23582,-2.18046,3e-04,0.00116681,"yes"
"65309","Sobic.010G009800.v3.2","seed_wt","seed_dry","OK",5.90398,2.61203,-1.17652,-1.54264,0.01105,0.0277628,"yes"
"65338","Sobic.010G012900.v3.2","seed_wt","seed_dry","OK",4.96905,0.511803,-3.27931,-2.72702,0.0037,0.01076,"yes"
"65340","Sobic.010G013100.v3.2","seed_wt","seed_dry","OK",23.8276,0,-Inf,NA,5e-05,0.000226883,"yes"
"65372","Sobic.010G016300.v3.2","seed_wt","seed_dry","OK",4.10572,0.30093,-3.77014,-2.89298,0.00105,0.00356415,"yes"
"65375","Sobic.010G016600.v3.2","seed_wt","seed_dry","OK",13.0699,5.01436,-1.38211,-2.15364,7e-04,0.00249004,"yes"
"65382","Sobic.010G017300.v3.2","seed_wt","seed_dry","OK",2.96073,1.00454,-1.55942,-1.86169,0.00505,0.0140976,"yes"
"65396","Sobic.010G018700.v3.2","seed_wt","seed_dry","OK",13.4868,5.62097,-1.26265,-2.01137,0.00055,0.00200761,"yes"
"65398","Sobic.010G018900.v3.2","seed_wt","seed_dry","OK",32.3672,7.27421,-2.15367,-3.69889,5e-05,0.000226883,"yes"
"65399","Sobic.010G019000.v3.2","seed_wt","seed_dry","OK",27.4529,12.007,-1.19308,-2.15252,4e-04,0.00151008,"yes"
"65407","Sobic.010G019800.v3.2","seed_wt","seed_dry","OK",2.22072,0.209104,-3.40874,-2.20284,0.01215,0.0301119,"yes"
"65413","Sobic.010G020400.v3.2","seed_wt","seed_dry","OK",44.5592,19.6753,-1.17934,-2.30076,5e-05,0.000226883,"yes"
"65416","Sobic.010G020800.v3.2","seed_wt","seed_dry","OK",16.8315,1.68603,-3.31946,-4.20803,5e-05,0.000226883,"yes"
"65429","Sobic.010G022100.v3.2","seed_wt","seed_dry","OK",1.62167,0.412771,-1.97406,-1.52407,0.0334,0.0715349,"no"
"65445","Sobic.010G023400.v3.2","seed_wt","seed_dry","OK",9.84509,0.597396,-4.04265,-4.97368,5e-05,0.000226883,"yes"
"65447","Sobic.010G023600.v3.2","seed_wt","seed_dry","OK",10.182,0,-Inf,NA,5e-05,0.000226883,"yes"
"65452","Sobic.010G024000.v3.2","seed_wt","seed_dry","OK",2.31684,0.333762,-2.79526,-2.56404,0.0012,0.00400957,"yes"
"65457","Sobic.010G024500.v3.2","seed_wt","seed_dry","OK",3.74235,1.29418,-1.53191,-1.84555,0.00545,0.015056,"yes"
"65477","Sobic.010G026925.v3.2","seed_wt","seed_dry","OK",240.089,69.4494,-1.78954,-3.37521,5e-05,0.000226883,"yes"
"65478","Sobic.010G027000.v3.2","seed_wt","seed_dry","OK",344.052,71.5529,-2.26554,-4.16595,5e-05,0.000226883,"yes"
"65481","Sobic.010G027300.v3.2","seed_wt","seed_dry","OK",1.81748,0.257966,-2.81668,-1.84034,0.031,0.0671701,"no"
"65483","Sobic.010G027500.v3.2","seed_wt","seed_dry","OK",3.75048,1.85206,-1.01795,-1.44632,0.01165,0.0290512,"yes"
"65484","Sobic.010G027600.v3.2","seed_wt","seed_dry","OK",8.78451,3.9017,-1.17086,-1.60567,0.0053,0.0147022,"yes"
"65494","Sobic.010G028400.v3.2","seed_wt","seed_dry","OK",26.8716,8.37488,-1.68194,-2.74686,5e-05,0.000226883,"yes"
"65513","Sobic.010G030100.v3.2","seed_wt","seed_dry","OK",1.5573,0,-Inf,NA,5e-05,0.000226883,"yes"
"65523","Sobic.010G031100.v3.2","seed_wt","seed_dry","OK",647.793,8.67214,-6.223,-7.13676,5e-05,0.000226883,"yes"
